LONGITUDE,LAT,LABEL,NAME,Substation,PrimaryFee,PrimaySubs,County,InternalSb,CustomersS,PhysicalLo
35.69056556,0.319159028,138376 - CARZAN FLOWERS[ K] L,138376 - CARZAN FLOWERS[ K] L,138376,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300715514,221,CARZAN FLOWERS[ K] LTD
35.67116194,0.459135,138757 - NDABIBIT,138757 - NDABIBIT,138757,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300715807,0,NDABIBIT
36.08687389,0.079384167,139278 - RUIRU PRY PHse 2,139278 - RUIRU PRY PHse 2,139278,NYAHURURU/MARALAL 33Kv L1,LANET SUBSTATION,Nakuru,300716389,6,RUIRU PRY
35.60228161,0.353044722,139881 - BOSIRE & 0THERS,139881 - BOSIRE & 0THERS,139881,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300717069,0,bosire
36.06266083,0.284435111,140242 - KFA,140242 - KFA,140242,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300717418,0,KFA
35.70840528,0.3765625,140623 - MWAHE PRIMARY SCHOOL,140623 - MWAHE PRIMARY SCHOOL,140623,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708369,0,MWAHE PRIMARY SCHOOL
35.63467358,0.313274167,140624 - 140624,140624 - 140624,140624,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708370,0,Kamuri
35.63107722,0.3419525,140625 - 140625,140625 - 140625,140625,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708371,0,Kamuri
35.53204083,0.400101333,140712 - KIPSAPTA  PRIMARY,140712 - KIPSAPTA  PRIMARY,140712,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300717952,3,KIPSAPTA  PRIMARY
35.96083722,0.207800278,141078 - SAFARICOMM MANGU,141078 - SAFARICOMM MANGU,141078,UNIVERSITY FEEDER EX KABARAK,KABARAK 33/11 SUBSTATION,Nakuru,300718269,9,SAFARICOM MANGU
36.07491528,0.289472222,141106 - MASAI ROAD,141106 - MASAI ROAD,141106,SOUTH EX LANET,LANET SUBSTATION,Nakuru,300718301,66,MASAI ROAD
